scenario,beta,phi,Gamma,R0,Istar
mostly local,0.038,0.001,0.04,6.0,17.02562418976663
mixed,0.02,0.01,0.04,6.0,17.02562418976663
mostly reservoir,0.002,0.019,0.04,6.0,17.02562418976663
