R0,Istar
0.2,0.0
0.23935742971887553,0.0
0.27871485943775104,0.0
0.31807228915662655,0.0
0.357429718875502,0.0
0.3967871485943776,0.0
0.43614457831325304,0.0
0.47550200803212855,0.0
0.5148594377510041,0.0
0.5542168674698795,0.0
0.5935742971887551,0.0
0.6329317269076307,0.0
0.6722891566265061,0.0
0.7116465863453816,0.0
0.751004016064257,0.0
0.7903614457831327,0.0
0.8297188755020082,0.0
0.8690763052208836,0.0
0.9084337349397591,0.0
0.9477911646586346,0.0
0.9871485943775102,0.0
1.0265060240963857,0.5362109462746324
1.0658634538152612,1.2829090837576271
1.1052208835341366,1.9760932153139001
1.144578313253012,2.6212898733679233
1.1839357429718878,3.223290564147823
1.2232931726907632,3.786270013928528
1.2626506024096387,4.313882300322332
1.3020080321285141,4.809339548100703
1.3413654618473896,5.275476770613408
1.3807228915662653,5.714805621245448
1.4200803212851407,6.129559206421788
1.4594377510040162,6.521729647502378
1.4987951807228916,6.8930997244407255
1.538152610441767,7.245269661240537
1.5775100401606428,7.579679901669293
1.6168674698795182,7.897630558463491
1.6562248995983937,8.200298089372495
1.6955823293172692,8.488749650634595
1.7349397590361448,8.763955496704058
1.7742971887550203,9.02679972959907
1.8136546184738958,9.278089648573408
1.8530120481927712,9.518563908215945
1.8923694779116467,9.748899658456642
1.9317269076305223,9.969718811681727
1.9710843373493978,10.181593558966005
2.0104417670682735,10.385051238322193
2.049799196787149,10.580578642061223
2.0891566265060244,10.768625837231202
2.1285140562249,10.949609562161001
2.1678714859437753,11.123916252980703
2.2072289156626512,11.291904746305908
2.2465863453815267,11.453908697800058
2.285943775100402,11.610238750858464
2.3253012048192776,11.761184485021081
2.364658634538153,11.907016169778545
2.4040160642570285,12.0479863460749
2.443373493975904,12.184331254935946
2.4827309236947794,12.316272130188436
2.522088353413655,12.444016370117131
2.561445783132531,12.567758601081811
2.6008032128514063,12.687681644539696
2.6401606425702817,12.803957397553717
2.679518072289157,12.91674763568279
2.7188755020080326,13.026204746119515
2.758232931726908,13.132472398043333
2.7975903614457835,13.235686156372623
2.836947791164659,13.33597404441293
2.8763052208835345,13.433457060296924
2.9156626506024104,13.528249651582717
2.955020080321286,13.620460151912123
2.9943775100401613,13.710191183220038
3.0337349397590367,13.797540026623802
3.073092369477912,13.882598964800785
3.1124497991967877,13.965455598378355
3.151807228915663,14.046193138608286
3.1911646586345386,14.124890678373273
3.230522088353414,14.201623443373853
3.26987951807229,14.27646302516598
3.3092369477911654,14.34947759756041
3.348594377510041,14.420732117753204
3.3879518072289163,14.490288513429219
3.4273092369477918,14.558205856966406
3.4666666666666672,14.624540527766285
3.5060240963855427,14.68934636364393
3.545381526104418,14.752674802127734
3.5847389558232936,14.814575012444806
3.6240963855421695,14.875094018900123
3.663453815261045,14.93427681629693
3.7028112449799204,14.992166477990787
3.742168674698796,15.04880425711959
3.7815261044176713,15.104229681507116
3.820883534136547,15.158480642696224
3.8602409638554223,15.211593479530935
3.8995983935742977,15.26360305667267
3.938955823293173,15.314542838405
3.9783132530120486,15.364444958053454
4.017670682730924,15.41334028332106
4.0570281124497996,15.46125847781723
4.096385542168675,15.508228059035993
4.1357429718875505,15.554276453020327
4.175100401606426,15.59943004593128
4.214457831325302,15.643714232724369
4.253815261044178,15.687153463120701
4.293172690763053,15.729771285046485
4.332530120481929,15.771590385702034
4.371887550200804,15.8126326304097
4.41124497991968,15.852919099379577
4.450602409638555,15.892470122521894
4.4899598393574305,15.931305312426066
4.529317269076306,15.969443595617946
4.568674698795181,16.006903242199286
4.608032128514057,16.043701893966
4.647389558232932,16.079856591095673
4.686746987951808,16.115383797488352
4.726104417670683,16.150299424839236
4.765461847389559,16.1846188555166
4.804819277108434,16.218356964313553
4.84417670682731,16.2515281391377
4.883534136546186,16.284146300698634
4.922891566265061,16.316224921249518
4.962248995983937,16.347777042435172
5.001606425702812,16.37881529229601
5.040963855421688,16.40935190147396
5.080321285140563,16.43939871866377
5.119678714859439,16.468967225350177
5.159036144578314,16.498068549869302
5.19839357429719,16.526713480829997
5.237751004016065,16.554912479928866
5.2771084337349405,16.5826756941907
5.316465863453816,16.61001296766406
5.3558232931726915,16.636933852600105
5.395180722891567,16.663447620141092
5.434538152610442,16.689563270543413
5.473895582329318,16.715289542958594
5.513253012048193,16.740634924794435
5.552610441767069,16.765607660677137
