scenario,R0,S,ST,E,I,P
Disease-free regime,0.3360000000000001,50.00000000000001,50.0,0.0,0.0,0.0
Endemic regime,6.0,10.128120948833182,4.743758102333643,17.02562418976663,17.02562418976663,34.05124837953326
